Sezona,Število zadetih metov,Število metov,Število točk na tekmo,Odstotek meta,Odstotek prostih metov,Odstotek meta za tri točke
2022-23,42.0,88.3,114.7,0.475,0.782,0.361
2021-22,40.6,88.1,110.6,0.461,0.775,0.354
2020-21,41.2,88.4,112.1,0.466,0.778,0.367
2019-20,40.9,88.8,111.8,0.46,0.773,0.358
2018-19,41.1,89.2,111.2,0.461,0.766,0.355
2017-18,39.6,86.1,106.3,0.46,0.767,0.362
2016-17,39.0,85.4,105.6,0.457,0.772,0.358
2015-16,38.2,84.6,102.7,0.452,0.757,0.354
2014-15,37.5,83.6,100.0,0.449,0.75,0.35
2013-14,37.7,83.0,101.0,0.454,0.756,0.36
2012-13,37.1,82.0,98.1,0.453,0.753,0.359
2011-12,36.5,81.4,96.3,0.448,0.752,0.349
2010-11,37.2,81.2,99.6,0.459,0.763,0.358
2009-10,37.7,81.7,100.4,0.461,0.759,0.355
2008-09,37.1,80.9,100.0,0.459,0.771,0.367
2007-08,37.3,81.5,99.9,0.457,0.755,0.362
2006-07,36.5,79.7,98.7,0.458,0.752,0.358
2005-06,35.8,79.0,97.0,0.454,0.745,0.358
2004-05,35.9,80.3,97.2,0.447,0.756,0.356
2003-04,35.0,79.8,93.4,0.439,0.752,0.347
2002-03,35.7,80.8,95.1,0.442,0.758,0.349
2001-02,36.2,81.3,95.5,0.445,0.752,0.354
2000-01,35.7,80.6,94.8,0.443,0.748,0.354
1999-00,36.8,82.1,97.5,0.449,0.75,0.353
1998-99,34.2,78.2,91.6,0.437,0.728,0.339
1997-98,35.9,79.7,95.6,0.45,0.737,0.346
1996-97,36.1,79.3,96.9,0.455,0.738,0.36
1995-96,37.0,80.2,99.5,0.462,0.74,0.367
1994-95,38.0,81.5,101.4,0.466,0.737,0.359
1993-94,39.3,84.4,101.5,0.466,0.734,0.333
1992-93,40.7,86.0,105.3,0.473,0.754,0.336
1991-92,41.3,87.3,105.3,0.472,0.759,0.331
1990-91,41.4,87.2,106.3,0.474,0.765,0.32
1989-90,41.5,87.2,107.0,0.476,0.764,0.331
1988-89,42.5,89.0,109.2,0.477,0.768,0.323
1987-88,42.1,87.7,108.2,0.48,0.766,0.316
1986-87,42.6,88.8,109.9,0.48,0.763,0.301
1985-86,43.2,88.6,110.2,0.487,0.756,0.282
1984-85,43.8,89.1,110.8,0.491,0.764,0.282
1983-84,43.5,88.4,110.1,0.492,0.76,0.25
1982-83,43.5,89.7,108.5,0.485,0.74,0.238
1981-82,43.3,88.2,108.6,0.491,0.746,0.262
1980-81,43.0,88.4,108.1,0.486,0.751,0.245
1979-80,43.6,90.6,109.3,0.481,0.764,0.28
1978-79,44.5,91.7,110.3,0.485,0.752,
1977-78,43.6,92.9,108.5,0.469,0.752,
1976-77,42.8,92.0,106.5,0.465,0.751,
1975-76,42.1,91.7,104.3,0.458,0.751,
1974-75,41.7,91.1,102.6,0.457,0.765,
1973-74,43.1,93.9,105.7,0.459,0.771,
1972-73,44.2,96.9,107.6,0.456,0.758,
1971-72,43.4,95.5,110.2,0.455,0.748,
1970-71,44.0,98.0,112.4,0.449,0.745,
1969-70,45.7,99.4,116.7,0.46,0.751,
1968-69,43.7,99.0,112.3,0.441,0.714,
1967-68,45.0,100.8,116.6,0.446,0.72,
1966-67,45.5,103.1,117.4,0.441,0.732,
1965-66,44.3,102.4,115.5,0.433,0.727,
1964-65,42.5,99.8,110.6,0.426,0.721,
1963-64,42.9,99.1,111.0,0.433,0.722,
1962-63,44.6,101.2,115.3,0.441,0.727,
1961-62,45.9,107.7,118.8,0.426,0.727,
1960-61,45.4,109.4,118.1,0.415,0.733,
1959-60,44.5,108.7,115.3,0.41,0.735,
1958-59,40.4,102.3,108.2,0.395,0.756,
1957-58,39.0,101.9,106.6,0.383,0.746,
1956-57,35.9,94.6,99.6,0.38,0.751,
1955-56,35.3,91.4,99.0,0.387,0.745,
1954-55,33.3,86.4,93.1,0.385,0.738,
1953-54,28.1,75.4,79.5,0.372,0.709,
1952-53,28.5,77.1,82.7,0.37,0.716,
1951-52,29.6,80.8,83.7,0.367,0.735,
1950-51,29.8,83.6,84.1,0.357,0.733,
1949-50,28.2,83.1,80.0,0.34,0.714,
1948-49,29.0,88.7,80.0,0.327,0.703,
1947-48,27.2,96.0,72.7,0.284,0.675,
1946-47,25.9,92.9,67.8,0.279,0.641,
