Sezona,Liga,Zmagovalec,Starost,Odigrane tekme,Točke na tekmo,Skoki na tekmo,Asistence na tekmo,Število odvzetih žog,Blokade
2022-23,NBA,Joel Embiid,28,66.0,33.1,10.2,4.2,1.0,1.7
2021-22,NBA,Nikola JokiÄ‡,26,74.0,27.1,13.8,7.9,1.5,0.9
2020-21,NBA,Nikola JokiÄ‡,25,72.0,26.4,10.8,8.3,1.3,0.7
2019-20,NBA,Giannis Antetokounmpo,25,63.0,29.5,13.6,5.6,1.0,1.0
2018-19,NBA,Giannis Antetokounmpo,24,72.0,27.7,12.5,5.9,1.3,1.5
2017-18,NBA,James Harden,28,72.0,30.4,5.4,8.8,1.8,0.7
2016-17,NBA,Russell Westbrook,28,81.0,31.6,10.7,10.4,1.6,0.4
2015-16,NBA,Stephen Curry,27,79.0,30.1,5.4,6.7,2.1,0.2
2014-15,NBA,Stephen Curry,26,80.0,23.8,4.3,7.7,2.0,0.2
2013-14,NBA,Kevin Durant,25,81.0,32.0,7.4,5.5,1.3,0.7
2012-13,NBA,LeBron James,28,76.0,26.8,8.0,7.3,1.7,0.9
2011-12,NBA,LeBron James,27,62.0,27.1,7.9,6.2,1.9,0.8
2010-11,NBA,Derrick Rose,22,81.0,25.0,4.1,7.7,1.0,0.6
2009-10,NBA,LeBron James,25,76.0,29.7,7.3,8.6,1.6,1.0
2008-09,NBA,LeBron James,24,81.0,28.4,7.6,7.2,1.7,1.1
2007-08,NBA,Kobe Bryant,29,82.0,28.3,6.3,5.4,1.8,0.5
2006-07,NBA,Dirk Nowitzki,28,78.0,24.6,8.9,3.4,0.7,0.8
2005-06,NBA,Steve Nash,31,79.0,18.8,4.2,10.5,0.8,0.2
2004-05,NBA,Steve Nash,30,75.0,15.5,3.3,11.5,1.0,0.1
2003-04,NBA,Kevin Garnett,27,82.0,24.2,13.9,5.0,1.5,2.2
2002-03,NBA,Tim Duncan,26,81.0,23.3,12.9,3.9,0.7,2.9
2001-02,NBA,Tim Duncan,25,82.0,25.5,12.7,3.7,0.7,2.5
2000-01,NBA,Allen Iverson,25,71.0,31.1,3.8,4.6,2.5,0.3
1999-00,NBA,Shaquille O'Neal,27,79.0,29.7,13.6,3.8,0.5,3.0
1998-99,NBA,Karl Malone,35,49.0,23.8,9.4,4.1,1.3,0.6
1997-98,NBA,Michael Jordan,34,82.0,28.7,5.8,3.5,1.7,0.5
1996-97,NBA,Karl Malone,33,82.0,27.4,9.9,4.5,1.4,0.6
1995-96,NBA,Michael Jordan,32,82.0,30.4,6.6,4.3,2.2,0.5
1994-95,NBA,David Robinson,29,81.0,27.6,10.8,2.9,1.7,3.2
1993-94,NBA,Hakeem Olajuwon,31,80.0,27.3,11.9,3.6,1.6,3.7
1992-93,NBA,Charles Barkley,29,76.0,25.6,12.2,5.1,1.6,1.0
1991-92,NBA,Michael Jordan,28,80.0,30.1,6.4,6.1,2.3,0.9
1990-91,NBA,Michael Jordan,27,82.0,31.5,6.0,5.5,2.7,1.0
1989-90,NBA,Magic Johnson,30,79.0,22.3,6.6,11.5,1.7,0.4
1988-89,NBA,Magic Johnson,29,77.0,22.5,7.9,12.8,1.8,0.3
1987-88,NBA,Michael Jordan,24,82.0,35.0,5.5,5.9,3.2,1.6
1986-87,NBA,Magic Johnson,27,80.0,23.9,6.3,12.2,1.7,0.5
1985-86,NBA,Larry Bird,29,82.0,25.8,9.8,6.8,2.0,0.6
1984-85,NBA,Larry Bird,28,80.0,28.7,10.5,6.6,1.6,1.2
1983-84,NBA,Larry Bird,27,79.0,24.2,10.1,6.6,1.8,0.9
1982-83,NBA,Moses Malone,27,78.0,24.5,15.3,1.3,1.1,2.0
1981-82,NBA,Moses Malone,26,81.0,31.1,14.7,1.8,0.9,1.5
1980-81,NBA,Julius Erving,30,82.0,24.6,8.0,4.4,2.1,1.8
1979-80,NBA,Kareem Abdul-Jabbar,32,82.0,24.8,10.8,4.5,1.0,3.4
1978-79,NBA,Moses Malone,23,82.0,24.8,17.6,1.8,1.0,1.5
1977-78,NBA,Bill Walton,25,58.0,18.9,13.2,5.0,1.0,2.5
1976-77,NBA,Kareem Abdul-Jabbar,29,82.0,26.2,13.3,3.9,1.2,3.2
1975-76,NBA,Kareem Abdul-Jabbar,28,82.0,27.7,16.9,5.0,1.5,4.1
1974-75,NBA,Bob McAdoo,23,82.0,34.5,14.1,2.2,1.1,2.1
1973-74,NBA,Kareem Abdul-Jabbar,26,81.0,27.0,14.5,4.8,1.4,3.5
1972-73,NBA,Dave Cowens,24,82.0,20.5,16.2,4.1,,
1971-72,NBA,Kareem Abdul-Jabbar,24,81.0,34.8,16.6,4.6,,
1970-71,NBA,Kareem Abdul-Jabbar,23,82.0,31.7,16.0,3.3,,
1969-70,NBA,Willis Reed,27,81.0,21.7,13.9,2.0,,
1968-69,NBA,Wes Unseld,22,82.0,13.8,18.2,2.6,,
1967-68,NBA,Wilt Chamberlain,31,82.0,24.3,23.8,8.6,,
1966-67,NBA,Wilt Chamberlain,30,81.0,24.1,24.2,7.8,,
1965-66,NBA,Wilt Chamberlain,29,79.0,33.5,24.6,5.2,,
1964-65,NBA,Bill Russell,30,78.0,14.1,24.1,5.3,,
1963-64,NBA,Oscar Robertson,25,79.0,31.4,9.9,11.0,,
1962-63,NBA,Bill Russell,28,78.0,16.8,23.6,4.5,,
1961-62,NBA,Bill Russell,27,76.0,18.9,23.6,4.5,,
1960-61,NBA,Bill Russell,26,78.0,16.9,23.9,3.4,,
1959-60,NBA,Wilt Chamberlain,23,72.0,37.6,27.0,2.3,,
1958-59,NBA,Bob Pettit,26,72.0,29.2,16.4,3.1,,
1957-58,NBA,Bill Russell,23,69.0,16.6,22.7,2.9,,
1956-57,NBA,Bob Cousy,28,64.0,20.6,4.8,7.5,,
1955-56,NBA,Bob Pettit,23,72.0,25.7,16.2,2.6,,
1975-76,ABA,Julius Erving,25,84.0,29.3,11.0,5.0,2.5,1.9
1974-75,ABA,Julius Erving,24,84.0,27.9,10.9,5.5,2.2,1.9
1974-75,ABA,George McGinnis,24,79.0,29.8,14.3,6.3,2.6,0.7
1973-74,ABA,Julius Erving,23,84.0,27.4,10.7,5.2,2.3,2.4
1972-73,ABA,Billy Cunningham,29,84.0,24.1,12.0,6.3,2.6,
1971-72,ABA,Artis Gilmore,22,84.0,23.8,17.8,2.7,,5.0
1970-71,ABA,Mel Daniels,26,82.0,21.0,18.0,2.2,,
1969-70,ABA,Spencer Haywood,20,84.0,30.0,19.5,2.3,,
1968-69,ABA,Mel Daniels,24,76.0,24.0,16.5,1.5,,
1967-68,ABA,Connie Hawkins,25,70.0,26.8,13.5,4.6,,
